courseName	universityName	facultyName	isItFullTime	description	startDate	fees	modality	duration	city	country	administration	url
MedTech Innovation & Entrepreneurship MSc	King’s College London	King’s Business School	Full time	The MSc in MedTech Innovation and Entrepreneurship brings together talented students and professionals from a range of backgrounds across the spectrum of health, engineering, design, business and entrepreneurship, who are committed to creating innovation in health and making the world a healthier place.The programme builds on King’s strengths in healthcare, health research, healthcare technologies, design, engineering, business and entrepreneurship to teach both crucial business knowledge and the art and science of developing novel medical technologies that address an unmet clinical need.	September	Please see the university website for further information on fees for this course.	MSc	1 year	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/medtech-innovation-and-entrepreneurship-msc/?i132d7816c67578Processing file: course_1001.tsv
Microbiology and Microbiotechnology - MSc	University of Helsinki	International Masters Degree Programmes	Full time	Goal of the pro­grammeWhy are microbes the most important group of organisms on our planet? How is knowledge of microbiology applied in medicine and industry, or in food production? What research techniques are used to study viruses, bacteria and other microbes? These are important questions, and you can find answers to these and many others in the study of Microbiology and microbial biotechnology.Upon completing your degree, you will:	September	Tuition fee per year (non-EU/EEA students): 18000 €	MSc	2 years	Helsinki	Finland	On Campus	https://www.findamasters.com/masters-degrees/course/microbiology-and-microbiotechnology-msc/?i312d6223c45190Processing file: course_1002.tsv
Microbiome in Health & Disease MSc	King’s College London	Faculty of Dentistry, Oral & Craniofacial Sciences	Full time	Our Microbiome in Health & Disease MSc provides students with a unique background in all aspects of both analysis of microbiome and determining the role of microbiome in pathology with experience in both computational and experimental techniques.Designed and delivered by the Centre for Host-Microbiome Interactions (CHMI) at King's, the course brings together teaching in systems biology and bioinformatics with molecular biology, microbiology, immunology and	September	Please see the university website for further information on fees for this course.	MSc	Full-time: 1 year	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/microbiome-in-health-and-disease-msc/?i132d2850c50276Processing file: course_1003.tsv
MS in Computer Science	University of San Francisco	College of Arts and Sciences	Full time	Develop software. Dive into systems, networking, and distributed programming. Explore algorithms and computer theory. Learn what you need to know to get where you want to	September	Please see the university website for further information on fees for this course.	MSc	2 years	San Francisco	USA	On Campus	https://www.findamasters.com/masters-degrees/course/ms-in-computer-science/?i496d7690c49194Processing file: course_1004.tsv
MSc - Accounting	Durham University	Durham University Business School	Full time	Our innovative MSc Accounting programme sits within Durham’s portfolio of Masters programmes. A one-year full-time programme, it provides an opportunity for you to develop an in-depth understanding of the theory and practice of accounting as well as the critical thinking skills so valued by employers. The MSc in Accounting covers key accounting topics including financial statements and their preparation and analysis, the practical limitations of financial reporting, contemporary and evolving practice in financial and non-financial accounting and reporting, management information for decision-making, and the practice and concepts of auditing.	September	Full Time FeesHome students £14,900 per yearEU students £31,500 per yearIsland students £14,900 per yearInternational students £31,500 per year	MSc	1 year full-time	Durham	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-accounting/?i67d3385c35063Processing file: course_1005.tsv
MSc - Business Analytics	Durham University	Durham University Business School	Full time	Register your interest to Discover more about Durham!The MSc Business Analytics course is intended to provide premium Masters-level education and training in relevant areas of contemporary business analytics in a supportive research-led interdisciplinary learning environment.The broad aims are:	September	Full Time FeesHome students £33,500 per yearEU students £33,500 per yearIsland students £33,500 per yearInternational students £33,500 per year	MSc	1 year full-time	Durham	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-business-analytics/?i67d3385c54703Processing file: course_1006.tsv
MSc - Economics	Durham University	Durham University Business School	Full time	Our MSc programmes in Economics will give you the opportunity to equip yourself with the necessary skills and knowledge to pursue a career in economics and related disciplines.The programme consists of a set of core and elective modules, culminating in a practice-based business project or a research-based dissertation.Core and elective modules:You will study:Advanced MacroeconomicsAdvanced MicroeconomicsBased on your prior knowledge and experience you will be streamed to study one of the following module pairings:	September	Full Time FeesHome students £12,900 per yearEU students £24,500 per yearIsland students £12,900 per yearInternational students £24,500 per year	MSc	1 year full-time	Durham	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-economics/?i67d3385c28299Processing file: course_1007.tsv
MSc - Finance	Durham University	Durham University Business School	Full time	All ourMasters in Financeprogrammes are designed to provide you with rigorous training at the frontier of research, as well as analytical and technical skills that are highly sought after by global employers and, will provide you with a solid foundation if you wish to continue your studies.Our MSc programmes have partnership status with the Chartered Financial Analyst Institute (CFA). It guarantees you benefit from a curriculum of the highest standards and enables you to participate in the CFA Global Investment Research Challenge, as well as CFA employer network events and scholarships.Our Finance programmesMSc FinanceMSc Finance (Accounting and Finance)MSc Finance (Economics and Finance)	September	Full Time FeesHome students £14,900 per yearEU students £31,500 per yearIsland students £14,900 per yearInternational students £31,500 per year	MSc	1 year full-time	Durham	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-finance/?i67d3385c6195Processing file: course_1008.tsv
MSc - Management	Durham University	Durham University Business School	Full time	OurMSc Managementis ranked 5th in the UK by theFinancial TimesMasters in Management rankings 2019. It is designed to provide you with the tools, techniques and knowledge to succeed in business.The programme consists of a set of core and elective modules, culminating in a practice-based business project or a research-based dissertation.Our focusedMSc in Managementis designed to prepare you for becoming a successful manager. You will cover at an advanced level, the fundamental subjects needed to manage a business within a complex changing environment.	September	Full Time FeesHome students £13,900 per yearEU students £29,500 per yearIsland students £13,900 per yearInternational students £29,500 per year	MSc	1 year full-time	Durham	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-management/?i67d3385c23961Processing file: course_1009.tsv
MSc - Marketing	Durham University	Durham University Business School	Full time	Marketing touches all aspects of an organisation and helps shape and direct corporate strategy.Durham’sMSc Marketing programmewill equip you with the essential skills and knowledge to excel long-term across all marketing-related careers.	September	Full Time FeesHome students £13,900 per yearEU students £29,500 per yearIsland students £13,900 per yearInternational students £29,500 per year	MSc	1 year full-time	Durham	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-marketing/?i67d3385c4015Processing file: course_100.tsv
Biomedical Sciences Research - MSc	University of Bristol	Faculty of Life Sciences	Full time	This programme brings together expertise from across many subject areas in the biomedical sciences to provide you with training in several key areas of current research interests. The programme focuses on experimental science and is research informed. You will have the opportunity to gain practical laboratory-based experience. You will choose optional units and a literary project, and complete a research project within the biomedical sciences.The skills you can develop during this programme include; data analysis, critical thinking and communication skills, including report-writing and presentation. You will also gain skills in time management and undertaking independent research.	September	Please see the university website for further information on fees for this course.	MSc	1 year full-time	Bristol	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/biomedical-sciences-research-msc/?i287d6202c5324Processing file: course_1010.tsv
MSc Accounting, Governance and Financial Management	University of Sheffield	Management School	Full time	Explore the financial management of a range of organisations and gain the skills you need to take on a variety of advanced accounting or financial management roles.Our Accounting Governance and Financial Management MSc explores the financial management of a range of organisations along with core competencies of financial and management accounting. The first semester sets the scene with foundation modules, before guiding you to more advanced materials.Upon graduation, you will be fully equipped to take an advanced accounting or financial management role. The special emphasis on governance makes this masters ideal if you want to be a financial manager in an organisation or if you want to go into financial services as an auditor, for example.	September	Please see the university website for further information on fees for this course.	MSc	1 year full-time	Sheffield	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-accounting-governance-and-financial-management/?i348d3109c66483Processing file: course_1011.tsv
MSc Advanced Computer Science	University of Sheffield	Department of Computer Science	Full time	This MSc keeps you at the cutting edge of developments in computer science and software engineering. You'll have a diverse range of modules to choose from, which are informed by the department's wide-ranging research interests.Turn your fascination with how things work into a successful career in business or industry. We’ll give you an advanced education in the most up-to-date aspects of computer science and software engineering, informed by our wide-ranging research interests. Innovative project work will teach you how to apply your knowledge in the real world.	September	Please see the university website for further information on fees for this course.	MSc	1 year full-time	Sheffield	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-advanced-computer-science/?i348d602c7468Processing file: course_1012.tsv
MSc Advanced Mechanical Engineering	University of Sheffield	Department of Mechanical Engineering	Full time	Strengthen your knowledge and understanding of mechanical engineering. Choose from a wide selection of optional modules to tailor your studies to your interests.This highly flexible course is designed to strengthen your knowledge and understanding of mechanical engineering. It offers a wide selection of optional modules, allowing you to tailor your studies to reflect your interests, and graduates go on to work in many areas of engineering. You’ll also have the chance to further explore a subject that interests you through your individual research project.	September	Please see the university website for further information on fees for this course.	MSc	1 year full-time	Sheffield	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-advanced-mechanical-engineering/?i348d604c27223Processing file: course_1013.tsv
MSc Aerospace Engineering	University of Sheffield	Department of Interdisciplinary Engineering	Full time	A carefully designed conversion course for engineering graduates looking to specialise in aerospace.This is a fully immersive conversion course for engineering graduates, drawing upon expertise from six departments in the Faculties of Engineering and Science, as well as the University’s Management School. There are close ties with some of the world’s leading aerospace companies.Alongside traditional aeronautical subjects such as materials, structures, aerodynamics and propulsion necessary for the design of high-speed flight and lightweight aircraft, you'll also study concepts of systems integration and flight control. These are essential to the production of more efficient and environmentally friendly aircraft and aerospace systems.	September	Please see the university website for further information on fees for this course.	MSc	1 year full-time	Sheffield	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-aerospace-engineering/?i348d7872c53328Processing file: course_1014.tsv
MSc Animal Science	University College Dublin	UCD School of Veterinary Medicine	Full time	Graduate Taught (level 9 nfq, credits 90)The MSc in Animal Science is suitable for students who wish to undertake advanced studies in pursuit of a career in the livestock sector. This unique programme was designed after comprehensive consultation with leading stakeholders including animal nutrition and health industries. This new MSc aims to equip graduates with cutting edge skills and position them for leadership roles in a dynamic and critically important sector of the global economy.	September	Please see the university website for further information on fees for this course.	MSc	1 year Full-Time / 2 years Part-Time	Dublin	Ireland		https://www.findamasters.com/masters-degrees/course/msc-animal-science/?i272d8469c69653Processing file: course_1015.tsv
Contemporary Alcohol & Drug Studies - MSc	University of the West of Scotland	Masters courses in Social Sciences	Full time	Our innovative MSc Contemporary Alcohol & Drug Studies course adopts a critical social science perspective to explore the interplay between psychoactive substances and society across a range of areas. Our course will introduce you to a range of:Cross disciplinary theories and conceptsDescriptions and effects of psychoactive substancesPatterns of consumptionApproaches to treatment and relevant policy debatesPolitics of alcohol and drugs policyYou will critically examine patterns of substance use across social groups and the contexts and consequences of substance-related harms for individuals, families and neighbourhoods.	September	See website for programme fees.	MSc	1 year full time, 2 years part time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/contemporary-alcohol-and-drug-studies-msc/?i360d6749c4206Processing file: course_1016.tsv
Contemporary History MSc	University of Edinburgh	School of History, Classics & Archaeology	Full time	Programme descriptionWhy has the end of the Cold War not inaugurated a more harmonious world order? Do we see the continuation of old rivalries or the birth of a fundamentally different world? Do we still live in a globalised world or are we facing nationalist retrenchment? Is liberal democracy in crisis? Is US power declining and being replaced by new leaders on the world stage?How will I learn?This MSc allows you to explore such questions critically and analytically while discovering how the recent past shaped the modern world. You will gain a comprehensive understanding of the increasingly global experience of humankind in the twentieth and twenty-first centuries.	September	Tuition fees vary between degree programmes. Find the specific fees for your chosen programme on our website	MSc	1 year full-time or 2 years part-time	Edinburgh	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/contemporary-history-msc/?i300d1349c25218Processing file: course_1017.tsv
Contemporary Identities - MSc	University of Bristol	Faculty of Social Sciences and Law	Full time	The study of identity is a burgeoning area of sociological and cultural studies. Over a range of units, this programme provides an introduction to key themes in this field, with identity explored in both theoretical and substantive ways.On the one hand, there has been an exciting and innovative strand of work that explores and re-theorises the ideas of subjectivity and selfhood in the context of changes brought about by late modern and postmodern society. On the other, the question of identity has come under scrutiny within substantive areas of sociology, such as the sociology of race and ethnicity, the sociology of religion and the sociology of gender relations.	September	Please see the university website for further information on fees for this course.	MSc	1 year full-time; 2 years part-time	Bristol	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/contemporary-identities-msc/?i287d6199c16259Processing file: course_1018.tsv
Contemporary Nursing - MSc	University of Hertfordshire	School of Health and Social Work	Part time	Apply nowThis programme enables nurses to undertake a range of clinical and professional modules that reflect their current Continuing Professional Development needs. The MSc Contemporary Nursing will develop the students’ knowledge and skills in leadership, teaching, and/or management and promote the use of evidence and technology to improve nursing care in innovative ways.If you have qualified as a nurse and wish to enhance your skills and knowledge in your specific area of nursing practice or study modules in management, in coaching or in education, this is the course for you.Course structureIt is possible to take this pathway as a Post Graduate Diploma or Post Graduate Certificate award.	See Course	See website for programme fees.	MSc	2-5 years part-time	Hatfield	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/contemporary-nursing-msc/?i313d1159c28680Processing file: course_1019.tsv
Contract Design (Specializing Master)	POLI.design, Società consortile a responsabilità limitata	Postgraduate Courses	Full time	Contract Design represents a specific sector of professional applications relating to the design, management and organisation of resources helpful in realising internal and external spaces with specific intended uses. Its objective is to improve the individual well-being of users, and the relations with other users and operators in those spaces, considering all their needs.Contract projects are mainly diffused in the Office/Workplaces, Retail, Real Estate, Hospitality, Culture, Marine sectors, and are broadening to include new types of internal and external spaces and ways of using them.	February	€14.500	MSc,MA	-	Milan	Italy	On Campus	https://www.findamasters.com/masters-degrees/course/contract-design-specializing-master/?i191d5016c72037Processing file: course_101.tsv
Biomedical Sciences: Online MSc/PGDip/PGCert	University of Greenwich	School of Science	Part time	This online Biomed course allows health sector workers to study the latest developments in biomedical science and healthcare management while boosting their own professional development.Our Biomedical Science course is aimed at health sector employees who want to keep up-to-date with latest developments in biomedical science, healthcare management and related subjects. The course is managed by a consortium of NHS Trusts, Pathology Joint Ventures, Public Health England and the University of Greenwich. The modules are approved for continuing professional development (CPD) by the Institute of Biomedical Science (IBMS), the leading body for current practitioners in the field.	April, October	Please see the university website for further information on fees for this course.	PGDip,MSc,PGCert	1-7 distance learning	London	United Kingdom		https://www.findamasters.com/masters-degrees/course/biomedical-sciences-online-msc-pgdip-pgcert/?i309d8786c35112Processing file: course_1020.tsv
Control and Instrumentation (MSc)	University of Derby	College of Science and Engineering	Full time	This distinctive MSc develops all the skills and knowledge you need to excel in a rapidly changing field of electrical and electronic engineering.Course descriptionThere is a growing demand for professionals who can harness latest technology to design and produce novel measurement and control systems.	January, September	Please see the university website for further information on fees for this course.	MSc	12-18 months full time, 2-3 years part time	Derby	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/control-and-instrumentation-msc/?i295d7133c12055Processing file: course_1021.tsv
Control and Optimisation - MSc	Imperial College London	Electrical and Electronic Engineering	Full time	This course will introduce you to the major aspects of control theory and optimisation, as well as their application to the design of automated systems. You will develop skills in the use of the standard computer packages for control design and optimisation.In response to the growing demands of the chemical, oil, aerospace, aeronautical, power, transport and defence industries, control theory and optimisation has developed into a well-established body of knowledge that many engineers need to acquire.Additional areas of application include:	October	Please see the university website for further information on fees for this course.	MSc	1 year full-time	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/control-and-optimisation-msc/?i112d2565c22374Processing file: course_1022.tsv
Control of Infectious Diseases (MSc)	London School of Hygiene & Tropical Medicine	Faculty of Infectious and Tropical Diseases	Full time	The programmeThis is a multidisciplinary programme that bridges the fields of epidemiology, laboratory sciences and public health in the context of disease control. It includes a strong practical component and the opportunity to undertake a research project overseas with collaborating public health or research organisations and NGOs. The programme trains students in all aspects of the control of infectious diseases and prepares them for a career in a range of organisations.This programme will equip students with specialised skills that will facilitate a career in the control of infectious diseases as staff of health ministries, health departments, national or international disease control agencies, aid organisations or universities.	September	Please see the university website for further information on fees for this course.	MSc	1 year full-time; 2 years part-time	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/control-of-infectious-diseases-msc/?i151d2334c423Processing file: course_1023.tsv
Control Systems Engineering	University of Padua	School of Engineering	Full time	TheMaster’s degree in Control Systems Engineeringaims at training engineers with the ability to model, analyze and control the behavior of a wide array of robotics, industrial, financial, biological and information systems and networks. Particular emphasis is placed on learning and design methods that employ the best available data analysis, artificial intelligence and optimization methods.	October	Our tuition fees will not exceed 2700 euros per year. Scholarship and fee waivers are available for international students, for more information visit our website.	MSc	2 years	Padua	Italy	On Campus	https://www.findamasters.com/masters-degrees/course/control-systems-engineering/?i1283d7794c59494Processing file: course_1024.tsv
Control, Automation and Artificial Intelligence MSc	Coventry University	Faculty of Engineering, Environment and Computing	Full time	Is your undergraduate degree in engineering, mathematics or science? An accredited MSc in Control, Automation and Artificial Intelligence can help you to develop skills that would be beneficial in almost every engineering field from automotive, aircraft industry, power and energy, automation, process industry including oil and gas, food and drink, pharmaceutical industry and many others.Control engineering is a means of managing and measuring performance of process systems in areas from power plants and nuclear reactors to construction companies and manufacturing. The principles of control also extend in activities as diverse as managing risk in the financial sector to studying climate change within science.	September	UK Fees: 2022/23 fees TBC*;2021/22 fees - 10400 | 4000 (Work placement option additional fee)International Fees: 2022/23 fees TBC*;2021/22 - *17900 | 4000 (Work placement option additional fee)	MSc	1 year full time, 2 years part time, 2 years full time with work placement	Coventry	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/control-automation-and-artificial-intelligence-msc/?i49d2694c28594Processing file: course_1025.tsv
Control, Microsystems, Microelectronics, M.Sc.	University of Bremen	Fachbereich Physik/Elektrotechnik	Full time	If you possess a Bachelor's degree in Electrical Engineering/Information Technology and an inclination towards digitalization, the Master's program Control, Microsystems and Microelectronics (CMM) is the right choice for you. CMM is about both, software and hardware. From microchip technology to the algorithms of control theory, this course offers insights into all areas of digitalization. CMM combines advanced theoretical and applied control engineering, microsensor layout and technology as well as design and development of electronic systems, semiconductor devices and circuits. The language of instruction for this program is English.	April	No tuition fees are charged at the University of Bremen.	MSc	2 years	Bremen	Germany	On Campus	https://www.findamasters.com/masters-degrees/course/control-microsystems-microelectronics-m-sc/?i1319d9032c71812Processing file: course_1026.tsv
Co-operative & Social Enterprise (Online) MSc	University College Cork	Cork University Business School	Full time	﻿Not on offer 2022/2023Course OutlineIf you are interested in pursuing or developing a professional or voluntary career in the co-operative or social enterprise field, the MSc in Co-operative and Social Enterprise is designed with you in mind. It is a part-time course taken over two calendar years.The main aims of this programme are:	See Course	The EU fee for this course is €3,130 (Year 1 PT); €3,130 (Year 2 PT).The Non-EU fee for this course is €6,250.	MSc	1 year full time, 2 years part time	Cork	Ireland		https://www.findamasters.com/masters-degrees/course/co-operative-and-social-enterprise-online-msc/?i271d7839c68511Processing file: course_1027.tsv
Corporate and Financial Risk Management - MSc	University of Sussex	School of Mathematical and Physical Sciences	Full time	On this course, you’ll:gain an understanding of the main aspects of risk management in businessapply mathematics to financial risk description, analysis and quantificationexperience Sussex’s strong foundation of interdisciplinary research.The MSc draws on expertise from industry professionals, so you’ll gain the knowledge and skills to succeed in the fast-paced corporate world. Topics covered include quantitative analysis, regulation, implementation and management structure. You’ll have a choice between practice- and research-oriented study and can explore further topics including programming or statistics.	September	Find the specific fees for your chosen programme on the website	MSc	1 year full time	Brighton	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/corporate-and-financial-risk-management-msc/?i356d4268c33817Processing file: course_1028.tsv
Corporate Brand Management MSc	Brunel University London	Brunel Business School	Full time	Ask BrunelIn today’s business landscape, brand is everything. But what exactly is brand and how do we manage it for the best possible outcome? Brunel’s Corporate Brand Management MSc examines the importance of branding, corporate identity, image and reputation.You will study a wide-range of brands (e.g. product, service, personal, company) from a variety of cultures and sectors (private, public and not-for-profit) including start-ups, SMEs, and multinationals. You will also study how corporate branding is key to an organisation’s overall marketing strategy.	January, September	Please see the university website for further information on fees for this course.	MSc	Full time: 1-2 years	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/corporate-brand-management-msc/?i28d2737c8689Processing file: course_1029.tsv
Corporate Communication & Public Affairs (PgCert/PgDip/MSc)	Robert Gordon University	School of Creative and Cultural Business	Full time	This CIPR accredited course provides you with the practical skills and relevant academic knowledge to ensure you will be capable of operating in a strategic communication role on graduation.The course has been designed in close collaboration with leading practitioners and professional bodies to ensure it is relevant for today’s employers and industry. With a highly practical focus, you will have the opportunity to undertake four-weeks of professional industry experience in a real organisation, attend industry events, hear from professionals, take part in interactive workshops and visit media and communication organisations. This will ensure you will have both the theoretical and practical knowledge and skills to have a successful career in the industry.	September, January	Please see the university website for further information on fees for this course.	PGDip,PGCert,MSc	12-14 months full-time; 3 years part-time	Aberdeen	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/corporate-communication-and-public-affairs-pgcert-pgdip-msc/?i200d7566c6617Processing file: course_102.tsv
Biomedical Studies (Distance Learning) MSc	London Metropolitan University	School of Human Sciences	Part time	Why study this course?This Biomedical Studies (Distance Learning) MSc is a flexible online course designed to help you undertake Continuing Professional Development (CPD), top-up your qualifications or progress to a postgraduate qualification in biomedical science. This course is ideal if you are already working in a biomedical science environment.More about this courseOur Biomedical Studies (Distance Learning) MSc is delivered online via our Virtual Learning Environment (VLE)Weblearnso you can sign up for one module at a time, allowing you to stay flexible and maintain your work commitments.	September, January	Please see the university website for further information on fees for this course.	MSc	Part-time distance learning 2 years	London	United Kingdom		https://www.findamasters.com/masters-degrees/course/biomedical-studies-distance-learning-msc/?i149d7552c45882Processing file: course_1030.tsv
Corporate Development (Business Administration) - MSc	University of Cologne	Faculty of Management, Economics and Social Sciences	Full time	This major of theMaster of Science in Business Administrationcovers methods and instruments of strategic corporate management and developement as well as human rescource management.	October	At the University of Cologne there are no tuition fees, just a biannual social contribution fee of slightly more than 300 euros, which includes the semester ticket for public transport throughout North Rhine-Westphalia. Invest in an excellent education and your future without paying a fortune.	MSc	2 years full time	Cologne	Germany	On Campus	https://www.findamasters.com/masters-degrees/course/corporate-development-business-administration-msc/?i730d6763c33225Processing file: course_1031.tsv
Corporate Finance - MSc	University of Reading	Henley Business School	Full time	Corporate financial management and investment banking is at the core of this Masters programme and the skills acquired are sought after in the City of London. In this MSc course, you will learn through hands-on sessions and extensive use of case-study based learning and financial analysis simulations. You'll be fascinated by the exciting world of investment banking, venture capital, private equity, corporate governance and mergers and acquisitions. You will specialise in corporate investment and capital budgeting decisions, IPOs, payout policy, capital structure, financial analysis, valuation and modelling, as well as risk management. You will also gain an in-depth understanding of financial markets, securities trading and quantitative techniques. You will also be able to specialise further through a wide range of additional elective	September	Please see the university website for further information on fees for this course.	MSc	9-12 months full-time	Reading	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/corporate-finance-msc/?i345d4286c24018Processing file: course_1032.tsv
Corporate Finance (MSc)	Bayes Business School	MBA and Masters Programmes	Full time	Who is it for?The MSc degree in Corporate Finance is designed for ambitious students with interest in the area of corporate finance. Your background is not necessarily in finance or accounting, but you have a keen interest to study corporate finance and aim for a professional career in this or a related field.You aim to work as a finance professional for an investment bank, a consulting firm, or a global corporation as a finance manager. You are interested in questions such as:	September	Please see the university website for further information on fees for this course.	MSc	Full-time: 1 year	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/corporate-finance-msc/?i947d6040c34776Processing file: course_1033.tsv
Corporate Finance and Law	Aberdeen University	Business School	Full time	With both an LLM and MSc exit qualification available, this programme is delivered jointly by the University of Aberdeen's School of Law and Business School, and will provide students with an interdisciplinary learning experience in Finance and Law.With both an LLM and MSc exit qualification available, this is a unique opportunity to benefit from the expertise of staff from both the School of Law and the Business School. This programme has a practical and commercial focus and will appeal to those employed in or with an interest in commercial and professional services, within the legal and financial communities.	September	Find out about fees:Please see the university website for further information on fees for this course.	LLM,MSc	12 Months Full Time 24 Months Part Time	Aberdeen	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/corporate-finance-and-law/?i2d4464c63987Processing file: course_1034.tsv
Corporate Finance MSc	City, University of London	Faculty of Finance	Full time	The MSc in Corporate Finance programme is your chance to specialise in one of the biggest, most popular and prestigious areas of finance. Start your stellar career today.OverviewWho is it for?The MSc degree in Corporate Finance is designed for ambitious students with interest in the area of corporate finance. Your background is not necessarily in finance or accounting, but you have a keen interest to study corporate finance and aim for a professional career in this or a related field.You aim to work as a finance professional for an investment bank, a consulting firm, or a global corporation as a finance manager. You are interested in questions such as:	September	Please see the university website for further information on fees for this course.	MSc	1 year full time	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/corporate-finance-msc/?i393d8528c62951Processing file: course_1035.tsv
Corporate Governance & Accountability - MSc	University of Glasgow	Adam Smith Business School	Full time	Corporate Governance & Accountability will give you a theoretical and practical understanding of corporate governance and accountability, together with an international perspective on some of the most important issues facing global business and society	September	Please see the university website for further information on fees for this course.	MSc	1 year full-time	Glasgow	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/corporate-governance-and-accountability-msc/?i307d7918c28294Processing file: course_1036.tsv
Corporate Governance (MSc)	Birkbeck, University of London	Birkbeck Business School	Full time	On this MSc Corporate Governance, you will study the complex and changing relationships between business corporations, their stakeholders (shareholders, employees, customers, suppliers) and the societies in which they operate.The economic and financial aspects of corporate governance relationships have long been of concern to those in the business and investment communities, and in recent years the social, political and moral aspects of these relationships have also become a major public concern.	October	Please see the university website for further information on fees for this course.	MSc	1 year full-time or 2 years part-time	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/corporate-governance-msc/?i16d9009c24056Processing file: course_1037.tsv
Corporate Responsibility and Sustainability (MSc)	Birkbeck, University of London	Birkbeck Business School	Full time	Corporate responsibility and sustainability have become significant issues for a wide range of organisations and for the managers who work within them. The reasons for this	October	Please see the university website for further information on fees for this course.	MSc	1 year full-time or 2 years part-time	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/corporate-responsibility-and-sustainability-msc/?i16d9009c32212Processing file: course_1038.tsv
Corporate Social Responsibility and Sustainability MSc	London Metropolitan University	Guildhall School of Business and Law	Full time	Why study this course?London Met has won several prestigious awards for corporate social responsibility (CSR) and environmental sustainability, and with this course, we aim to train sustainability managers of the future with a focus on employee engagement, environmental law, supply chain and environmental economics.More about this courseCSR is an umbrella term that many companies use to describe a variety of activities and can permeate through many roles in an organisation. This course is aimed at middle management professionals and technical specialists who are already working in CSR and sustainability who have an interest in expanding their knowledge.	September, January	Please see the university website for further information on fees for this course.	MSc	Full-time 1 year, part-time 2 years	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/corporate-social-responsibility-and-sustainability-msc/?i149d4368c45080Processing file: course_1039.tsv
Cosmetic Medicine - MSc	Learna | Diploma MSc	Diploma MSc Medical Programmes	Part time	The onlineCosmetic Medicine MScprovides a progression route for the Postgraduate Diploma course.Course InformationDiploma MScis a collaborative partner of theUniversity of South Walesand on successful completion of this course, you will receive aCosmetic Medicine MSc.The Cosmetic Medicine MSc has been specifically designed to promote and enhance the knowledge of working healthcare professionals underpinning practice in cosmetic medicine. The course has been designed to complement Recognition of Prior Learning (RPL) awards, which are being developed for cosmetic medicine practitioners.	September, March	£4,500 (1 year)£8,700 (2 years)	MSc	2 years	Cardiff	United Kingdom		https://www.findamasters.com/masters-degrees/course/cosmetic-medicine-msc/?i1705d6873c50643Processing file: course_103.tsv
Biomedical Surface Science	Malmö University	Masters Programmes	Full time	The programme creates a platform for understanding the involvement of surface science in biomedicine and biotechnology. You will get theoretical knowledge and practical skills in the areas of biomedical activities which require expertise beyond traditional disciplines of biomedicine, chemistry or biology.	August	340000SEK	MSc,Other	Full-time: 2 years	Malmo	Sweden	On Campus	https://www.findamasters.com/masters-degrees/course/biomedical-surface-science/?i1421d7527c45360Processing file: course_1040.tsv
