courseName	universityName	facultyName	isItFullTime	description	startDate	fees	modality	duration	city	country	administration	url
MSc Logistics and Supply Chain Management	University of Hull	University of Hull Online	Part time	Start date: January 2024Bring your career to the next level in one of the fastest-growing professions.Learn to manage logistics and supply chainsto increase competitiveness on a global scale.Why this MSc?Hull takes pride in its central position within the UK’s logistics and supply chain network, with a thriving food and manufacturing industry and major port connected to global trade routes.World-class global organisations such as Apple, Amazon, and Nike understand the role effective logistics and supply chain management has on maintaining sustainable competitive success, innovation, and market leadership. Therefore, it is no surprise that such supply chains have a tremendous demand for world-class supply chain managers.	May, September	Please see the university website for further information on fees for this course.£9,800	MSc	2 years part-time (online)	Hull	United Kingdom		https://www.findamasters.com/masters-degrees/course/msc-logistics-and-supply-chain-management/?i315d8200c56798Processing file: course_2345.tsv
MSc Marketing & Retail Innovation	University College Dublin	UCD College of Business	Full time	Inspired by the creativity, innovation and the relentless pace of change within retailing, our faculty have worked closely with industry leaders to create the unique MSc in Marketing and Retail Innovation. The programme addresses vital industry needs, blending essential marketing expertise with customer-focused retail innovation, where relentless change demands agile creative responses.	September	Please see the university website for further information on fees for this course.	MSc	Full-time: 1 year	Dublin	Ireland	On Campus	https://www.findamasters.com/masters-degrees/course/msc-marketing-and-retail-innovation/?i272d4706c61478Processing file: course_2348.tsv
Fashion and Textiles Management - MSc	Heriot-Watt University	School of Textiles	Full time	This postgraduate fashion degree explores concepts and contemporary topics in design, fashion and textiles.OverviewThe course will give you an in-depth understanding of business processes and functions within the industry’s creative foundations. It attracts people from business and textile backgrounds – offering the chance to carry out structured research investigation.	September, January	Please see the university website for further information on fees for this course.	MSc	1 year full time, 2 years part time	Edinburgh	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/fashion-and-textiles-management-msc/?i106d2604c15980Processing file: course_234.tsv
Business Analytics MSc	Coventry University	Faculty of Business and Law	Full time	This course responds to the current growing demand and significant shortage of highly-trained analysts capable of interpreting data to find new patterns and relationships, informing business decisions accordingly so as to drive growth and successful business performance. You will have the opportunity to learn to generate value from large data sets, or Big Data, which cannot be analysed using traditional techniques.	September	UK Fees: 2022/23 fees TBC*;2021/22 fees - 14250International Fees: 2022/23 fees TBC*;2021/22 fees - 17900	MSc	1 year full-time, 2 years part-time	Coventry	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/business-analytics-msc/?i49d4013c47491Processing file: course_2354.tsv
Film, Exhibition and Curation MSc	University of Edinburgh	School of Literatures, Languages and Cultures	Full time	Programme descriptionOne of the first universities in the world to offer a programme of study in this field, Edinburgh is pioneering in its development of an active learning and teaching environment for the study of film, exhibition and curation.Our taught Masters programme combines rigorous critical thinking with experiments in creative practice, deepening your understanding of film and the ways in which it communicates with many audiences.As a Film, Exhibition and Curation student, you’ll explore a series of approaches to the often neglected consideration of film’s movements and migrations within the context of the rich and varied festival, gallery, archive and exhibition cultures of Scotland, the UK and beyond.	September	Tuition fees vary between degree programmes. Find the specific fees for your chosen programme on our website.	MSc	1 year full-time or 2 years part-time	Edinburgh	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/film-exhibition-and-curation-msc/?i300d4461c30200Processing file: course_235.tsv
Business Analytics MSc	Keele University	Keele Business School	Full time	Business analysis, analytical reasoning, AI and cloud computing all feature within LinkedIn’s top 10 skills companies need most in 2020. Rapid development of the Internet and digital technologies has fuelled the demand to harness the power of the huge volume of available data now at an organisation’s disposal. Employers need people who can manage and make sense of data, providing insight and recommendations to improve future business	September	Please see the university website for further information on fees for this course.	MSc	1 year / up to 20 months with entrepreneurship or placement pathway 2 years part-time / up to 24 to 36 months depending on pathway	Stoke on Trent	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/business-analytics-msc/?i131d2545c66174Processing file: course_236.tsv
Business Analytics MSc	University of Exeter	Management	Full time	OverviewLearn how to utilise and leverage data to solve business problemsEnhance your employability skills throughout the programme, finishing with a Business Project module using real data to address a real organisational problemUndertake modules in Marketing Analytics, Strategic & HR Analytics, Operations Analytics, and Environmental Analytics giving you specialist skills for a variety of careersTake part in the optional QTEM programme including an internship and semester abroadCourse contentThe programme is delivered over three terms and is University-based throughout this time.	September, January	For current fees please see our website.	MSc	1 year full-time	Exeter	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/business-analytics-msc/?i302d8984c57928Processing file: course_2375.tsv
Finance (Corporate and International Finance)	Durham University	Durham University Business School	Full time	OurMSc Finance programmesare designed to provide you with rigorous training at the frontier of research, as well as the advanced analytical and technical skills that are highly sought after by global employers and, if you wish to continue your studies, by world-leading PhD programmes.Our MSc programmes have partnership status with the Chartered Financial Analyst Institute (CFA). The CFA is the world’s premier association for investment professionals and the accepted benchmark for technical excellence in financial markets. It guarantees you benefit from a curriculum of the highest standards and enables you to participate in the CFA Global Investment Research Challenge, as well as CFA employer network events and scholarships.	September	Full Time FeesHome students £14,900 per yearEU students £31,500 per yearIsland students £14,900 per yearInternational students £31,500 per year	MSc	1 year	Durham	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/finance-corporate-and-international-finance/?i67d3385c70338Processing file: course_237.tsv
Business Analytics MSc	Northumbria University	Newcastle Business School	Full time	Data is everywhere and is growing rapidly every day. In a fast-changing digital world, there is a very high demand for game-changers who can predict business needs and who can understand and interpret data to make effective decisions.Our Business Analytics Masters course provides you with the opportunity and skills to explore the latest techniques for analysing ‘big data’ to identify patterns, interpret trends and advance your organisation’s drive for strategic change.	September	Please see the university website for further information on fees for this course.	MSc	See course dates on website	Newcastle	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/business-analytics-msc/?i180d4335c60334Processing file: course_2383.tsv
Finance (MSc)	Birkbeck, University of London	Birkbeck Business School	Full time	Birkbeck's MSc Finance combines academic rigour with a solid grounding in the practical, problem-solving skills that employers value. The course will give you excellent, specialist knowledge and training in finance and financial economics, including basic portfolio theory, corporate finance, and pricing theory applied to derivatives and government bond markets. You will also learn the latest econometrics and numerical analysis skills. All of these skills are increasingly valued in the marketplace, banks, commercial firms and government, so this course could help you stand out in a competitive job	October	Please see the university website for further information on fees for this course.	MSc	1 year full-time or 2 years part-time	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/finance-msc/?i16d9009c25782Processing file: course_238.tsv
